date,ise2,sp,dax,ftse,nikkei,bovespa,eu,em,try_usd_ret,cbrt_rate,cbrt_delta,cpi_yoy,cds_proxy
2005-01-24,0.005772211291507536,-0.0035340230516199287,-0.002806711325225928,0.0019135585820708287,0.00453839859919128,0.01582838777348202,,-0.001551605492650852,-0.007462713898624489,32.0,0.0,43.935759999999995,
2005-01-25,0.012774369908347832,0.003996329851615026,0.007600953001995374,0.0063589999985735135,-0.0011149389544116738,0.01582838777348202,,0.009017033315273721,-0.0018744576829223959,32.0,0.0,43.935759999999995,
2005-01-26,-0.0021544784106225143,0.004832419632938723,-0.004694590317396112,0.0008049085036372919,0.008798718531535382,0.01582838777348202,,0.014513245225613354,-0.00942508640909286,32.0,0.0,43.935759999999995,
2005-01-27,0.02037643676915014,0.00040883799571498974,0.0005432728534383569,0.001298862032507474,-0.0031042307367140417,-0.02059380852202043,,0.0009602555002760886,0.011299544092015232,32.0,0.0,43.935759999999995,
2005-01-28,-0.007659401857689529,-0.002719682678708843,-0.0034686933633148714,-0.004253500720169536,-0.0018294589101567605,-0.002583442413568585,,0.00090857412096332,0.0007487289899189215,32.0,0.0,43.935759999999995,
2005-01-31,0.006423515250229162,0.008424693022826934,0.01254413292989802,0.004026809663539499,0.005901837123877486,0.01585330911233943,,0.01308460790160885,-0.002998464410954636,32.0,0.0,43.935759999999995,
2005-02-01,0.0006438950434768373,0.006867267158630261,0.005886518709084976,0.011046972131180818,-0.000280120719623416,-0.008329945073390847,,0.008530557953334784,-0.018182356031271912,32.0,0.0,43.94344,
2005-02-02,0.01602148195456969,0.0031729290996995304,0.0038104779694439245,0.002036162863918818,0.001995412799534319,0.018706702944184,,0.0031548393121968448,0.012913266451478791,32.0,0.0,43.94344,
2005-02-03,-0.014512279018823862,-0.002769465505019701,-0.003420382688858896,-0.0016083042043782776,-0.0015607703864126607,0.010873406913607643,,-0.0010343921295185377,-0.0007550371907806379,32.0,0.0,43.94344,
2005-02-04,-0.0012963925794651728,0.01098252050319909,0.013372240519301883,0.006741318951389311,-0.0025450156046190903,0.03391227231720471,,0.01550087123261771,-0.0106303647017948,32.0,0.0,43.94344,
2005-02-07,0.02071831574338548,-0.0010895591835757032,0.006219055970318245,0.007720761532476121,0.012201233627581003,0.03391227231720471,,0.0031488548486554,0.006846784540027795,32.0,0.0,43.94344,
2005-02-08,0.009961185525933775,0.00048259010452929307,0.0011536254194498448,0.0031478168243585687,-0.0008204041423947799,0.03391227231720471,,0.0019327477393568707,0.0075528987874093284,32.0,0.0,43.94344,
2005-02-09,-0.025079496601727112,-0.008612258457473676,-0.004181369073696568,-0.0010214598883567954,-0.0014875670989373752,0.03391227231720471,,-0.0032398174240284468,0.001503740340419255,32.0,0.0,43.94344,
2005-02-10,-0.008749755060746626,0.004202617764653276,-0.002562377975667372,0.0019218651315208877,0.006966656681759181,0.0038687702341256304,,0.004831336240408456,-0.0007515427003377823,32.0,0.0,43.94344,
2005-02-11,0.0060900015367998965,0.006901750205170698,0.010490597449071512,0.008801194673281382,0.006966656681759181,0.009606945626304932,,0.009689055624408595,-0.009442976686715057,32.0,0.0,43.94344,
2005-02-14,0.003500375904563694,0.0006966508245472663,-0.00031909516591155704,-0.0004759846659368787,0.006966656681759181,-0.00522528114076749,,0.0071342143404657275,-0.006090628870513417,32.0,0.0,43.94344,
